voteratio,NtoA_ratio,NtoB_ratio,AtoB_ratio,BtoA_ratio,A得票率,B得票率,逆転,投票率
59.82,18.8,81.2,2.84,0.47,49.68,50.32,1,79.91
45.23,19.59,80.41,1.49,1.72,53.94,46.06,0,72.62
47.38,17.56,82.44,2.98,0.82,51.89,48.11,0,73.69
51.77,20.9,79.1,4.14,2.72,51.88,48.12,0,75.88
52.4,15.2,84.8,9.99,3.58,47.28,52.72,1,76.2
42.57,18.08,81.92,1.02,3.3,54.69,45.31,0,71.29
48.69,19.66,80.34,0.41,2.36,53.8,46.2,0,74.34
53.12,16.6,83.4,7.66,4.31,48.82,51.18,1,76.56
40.61,16.93,83.07,1.34,4.89,55.05,44.95,0,70.3
51.96,21.43,78.57,6.28,1.62,50.82,49.18,0,75.98
40.47,16.61,83.39,7.77,0.05,50.76,49.24,0,70.24
51.47,24.05,75.95,8.31,3.06,51.15,48.85,0,75.74
41.53,18.74,81.26,2.42,1.97,54.18,45.82,0,70.77
43.79,20.91,79.09,1.18,2.37,54.97,45.03,0,71.89
45.71,23.08,76.92,0.26,1.86,55.54,44.46,0,72.85
53.25,20.65,79.35,3.59,3.78,51.95,48.05,0,76.63
53.52,15.3,84.7,3.98,0.09,49.13,50.87,1,76.76
44.22,23.14,76.86,0.06,3.81,56.39,43.61,0,72.11
53.74,21.16,78.84,5.69,0.49,50.43,49.57,0,76.87
48.69,20.5,79.5,2.85,3.26,53.11,46.89,0,74.35
52.19,23.58,76.42,1.96,0.92,53.36,46.64,0,76.1
46.94,22.14,77.86,9.63,0.51,50.23,49.77,0,73.47
43.53,18.77,81.23,5.91,2.42,52.09,47.91,0,71.77
58.16,21.02,78.98,6.57,4.19,49.87,50.13,1,79.08
45.91,23.26,76.74,2.03,1.31,54.59,45.41,0,72.95
41.99,15.32,84.68,8.2,1.28,50.05,49.95,0,71.0
42.65,23.67,76.33,2.71,3.71,55.6,44.4,0,71.33
49.71,20.84,79.16,5.33,1.36,51.46,48.54,0,74.85
48.22,18.29,81.71,2.01,3.96,53.03,46.97,0,74.11
47.39,17.38,82.62,9.45,3.48,49.3,50.7,1,73.69
48.72,19.68,80.32,8.51,3.63,50.24,49.76,0,74.36
47.44,21.77,78.23,3.64,3.12,53.39,46.61,0,73.72
41.5,23.35,76.65,4.97,2.1,54.3,45.7,0,70.75
